T,,B,,C11,C12,,C13,,C33,,C44,,C66
241,,888.136450107,,1506.14595762,638.583881391,,551.569319725,,1503.01119571,,307.618485888,,333.213739835
244,,887.508494091,,1505.36999418,638.052714151,,551.035779439,,1502.12374848,,307.51340843,,333.10682837
247,,886.879914236,,1504.59320364,637.522999395,,550.500866313,,1501.23531403,,307.408941447,,333.001095884
250,,886.25069841,,1503.81557956,636.994652183,,549.964591723,,1500.34590779,,307.305047001,,332.896467016
253,,885.620831948,,1503.03711312,636.467586772,,549.426964656,,1499.45553897,,307.201686678,,332.7928664
256,,884.990298886,,1502.25779253,635.941714546,,548.887993995,,1498.56421646,,307.09882224,,332.690218725
259,,884.359080796,,1501.47760425,635.41694663,,548.347686119,,1497.6719419,,306.996414697,,332.588448748
262,,883.727157911,,1500.69653137,634.893190784,,547.806047522,,1496.77871701,,306.894424759,,332.487480995
265,,883.094508515,,1499.9145548,634.3703565,,547.263082255,,1495.88453753,,306.792813202,,332.38724014
268,,882.461109378,,1499.13165297,633.848348722,,546.718794562,,1494.98939805,,306.691539912,,332.287650722
271,,881.826935166,,1498.34780235,633.327071782,,546.173186809,,1494.09328748,,306.590564675,,332.1886369
274,,881.191959378,,1497.56297653,632.806429246,,545.626260877,,1493.19619314,,306.489847124,,332.090122928
277,,880.556153628,,1496.77714692,632.286321697,,545.078018088,,1492.29809792,,306.38934578,,331.992032447
280,,879.919487485,,1495.99028239,631.766647479,,544.528457843,,1491.39898321,,306.289019093,,331.894289047
283,,879.281929724,,1495.20234981,631.247306291,,543.977579515,,1490.49882524,,306.188825195,,331.796815722
286,,878.643446536,,1494.41331295,630.728190911,,543.425382219,,1489.59759717,,306.088721001,,331.69953517
289,,878.004003281,,1493.62313375,630.20919667,,542.871863522,,1488.69526982,,305.988663507,,331.602369298
292,,877.363562496,,1492.83177095,629.690213403,,542.317020144,,1487.79180904,,305.888608722,,331.505239625
295,,876.722085864,,1492.0391816,629.171129964,,541.760848805,,1486.88717818,,305.788511856,,331.408066792
298,,876.07953322,,1491.24531982,628.651833324,,541.203345113,,1485.98133788,,305.688327469,,331.310770815
301,,875.435862264,,1490.45013717,628.132206122,,540.644504603,,1485.07424334,,305.58800956,,331.213270676
304,,874.791028952,,1489.65358198,627.612130002,,540.084321599,,1484.16584725,,305.487510986,,331.115484355
307,,874.144987258,,1488.85559996,627.0914823,,539.522790171,,1483.25609881,,305.38678365,,331.017328818
310,,873.497689269,,1488.05613457,626.570137939,,538.95990362,,1482.34494266,,305.285778503,,330.91871983
313,,872.849084673,,1487.25512537,626.047967565,,538.395654742,,1481.43231964,,305.184445262,,330.819571862
316,,872.199121563,,1486.45250918,625.524839847,,537.830036346,,1480.51816556,,305.082732804,,330.719797748
319,,871.54774524,,1485.64821988,625.000617955,,537.263039634,,1479.6024138,,304.980588547,,330.619308852
322,,870.894898996,,1484.84218753,624.47516232,,536.694655932,,1478.684992,,304.877958274,,330.518014961
325,,870.240523412,,1484.03433876,623.948328395,,536.124875318,,1477.76582465,,304.774787042,,330.415823704
328,,869.584556703,,1483.22459648,623.419965979,,535.553688802,,1476.84482946,,304.671017427,,330.312640787
331,,868.926934419,,1482.41287962,622.8899226,,534.981085546,,1475.92191984,,304.566591275,,330.208369793
334,,868.267589078,,1481.59910337,622.358037851,,534.407054245,,1474.99700607,,304.461447846,,330.102911698
337,,867.606450128,,1480.78317848,621.824146928,,533.831583261,,1474.06998972,,304.355524901,,329.99616506
340,,866.943443718,,1479.96501029,621.288078808,,533.254659828,,1473.14076938,,304.248758016,,329.888025315
