T,B,C11,C12,C44
664,546.603908002,813.157494575,413.327114716,201.102083854
667,545.409104099,811.283792928,412.471759684,200.716651335
670,544.214311987,809.407812506,411.617561728,200.331483275
673,543.019610236,807.529497743,410.764666483,199.946542181
676,541.825078999,805.648785874,409.913225561,199.561788924
679,540.630800749,803.765618697,409.063391775,199.177183665
682,539.436859945,801.879933983,408.215322927,198.792685069
685,538.243342961,799.991665259,407.369181812,198.408250809
688,537.050338442,798.100746498,406.525134414,198.02383776
691,535.857937341,796.207109496,405.683351263,197.639401108
694,534.66623237,794.310683556,404.844006777,197.254894793
697,533.475319112,792.411395654,404.007280841,196.870272048
700,532.285294637,790.509169683,403.173357114,196.485484622
703,531.096259087,788.603929847,402.342423707,196.100482643
706,529.908314598,786.695594199,401.514674798,195.715215333
709,528.721565969,784.784082644,400.690307632,195.329630256
712,527.536120308,782.869310983,399.869524971,194.943673849
715,526.352087406,780.951191537,399.05253534,194.557291128
718,525.16957969,779.029634729,398.23955217,194.170425527
721,523.988711836,777.104550876,397.430792317,193.7830192
724,522.809601816,775.175841339,396.626482055,193.395012677
727,521.632369854,773.243413292,395.826848134,193.006345026
730,520.457139353,771.307165235,395.032126412,192.616953649
733,519.284036289,769.366995424,394.242556721,192.226774789
736,518.113190005,767.422796041,393.458386987,191.835742459
739,516.944732303,765.474461332,392.679867789,191.443789169
742,515.778798503,763.521880008,391.907257751,191.050846167
745,514.615526751,761.564936683,391.140821785,190.656842493
748,513.455058428,759.60351447,390.380830407,190.261705711
751,512.297538427,757.637493186,389.627561048,189.86536134
754,511.143114544,755.666748874,388.88129738,189.467733443
757,509.991938735,753.691154048,388.142331079,189.068743572
760,508.844165325,751.710579365,387.410958305,188.668312073
763,507.699953104,749.724890485,386.687484413,188.266356908
766,506.559463913,747.733950809,385.972220466,187.862794034
769,505.422863789,745.737619154,385.265486106,187.457537435
772,504.290322316,743.735750027,384.567608461,187.050498895
775,503.162012652,741.728195801,383.878921077,186.641588502
778,502.038112509,739.714806102,383.199765712,186.230713516
781,500.918802857,737.695421845,382.530493364,185.817779332
784,499.80426946,735.669886254,381.871461064,185.402688898
787,498.694702211,733.638032027,381.223037302,184.985343218
790,497.590294739,731.599692434,380.585595891,184.565640025
793,496.491245794,729.554694228,379.959521577,184.143475756
796,495.397758042,727.502862141,379.345205992,183.718743391
799,494.31003924,725.444012456,378.743052632,183.291333929
